player1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,take,take,take,take,take,leave,take,take,take,take,take,take,take,take,take,take,take,take
1,take,take,take,take,take,take,take,take,take,take,leave,leave,take,take,take,leave,leave,take
2,take,leave,take,take,take,take,take,take,leave,take,leave,take,take,take,take,take,take,take
3,take,take,take,take,take,take,take,take,take,leave,leave,take,take,take,take,leave,take,take
4,take,take,take,take,leave,take,take,leave,take,take,take,leave,take,take,take,leave,take,take
5,take,take,leave,leave,leave,take,leave,take,take,take,take,take,take,take,take,take,take,take
6,take,take,take,leave,leave,leave,take,take,take,take,take,leave,take,leave,take,take,take,take
7,leave,leave,take,take,leave,leave,leave,take,take,take,take,take,take,take,take,take,take,take
8,take,leave,take,leave,take,leave,leave,take,leave,take,leave,leave,take,take,take,take,take,take
9,leave,take,leave,leave,leave,leave,take,leave,leave,take,leave,take,take,leave,take,take,leave,take
10,take,take,take,take,take,take,leave,take,leave,leave,take,take,take,take,take,take,take,take
11,leave,take,take,take,leave,leave,leave,take,leave,leave,take,take,take,take,take,take,take,take
12,take,take,take,take,take,take,take,take,take,take,take,take,take,take,take,take,take,take
13,leave,take,leave,take,take,take,take,take,leave,take,take,take,take,take,take,take,leave,take
14,take,take,take,take,take,take,take,take,take,take,take,take,take,take,take,take,take,take
15,take,take,leave,leave,take,take,leave,take,take,take,leave,take,take,take,take,take,leave,leave
16,take,leave,leave,leave,take,take,leave,leave,take,leave,take,take,take,leave,take,take,leave,take
17,take,take,take,leave,leave,leave,leave,take,leave,take,take,leave,take,take,take,take,leave,take
